"date","open","close","increase","increPer","low","high","volume","amount","other","MA5","MA10","MA20","MA30","MA40","MA50","MA6"
"2015-01-05",11150.98,11520.59,505.97,"4.59%",11150.98,11587.28,354842592,29788226,"-",NA,NA,NA,NA,NA,NA,NA
"2015-01-06",11424.92,11667.97,147.38,"1.28%",11374.5,11749.14,345271264,30690918,"-",NA,NA,NA,NA,NA,NA,NA
"2015-01-07",11612.73,11613.36,-54.61,"-0.47%",11505.03,11714.78,289928320,24625286,"-",NA,NA,NA,NA,NA,NA,NA
"2015-01-08",11624.59,11465.14,-148.22,"-1.28%",11371.92,11656.71,283567776,23896822,"-",NA,NA,NA,NA,NA,NA,NA
"2015-01-09",11424.53,11324.76,-140.38,"-1.22%",11313.25,11738.25,296512384,24403282,"-",11518.36,NA,NA,NA,NA,NA,NA
"2015-01-12",11279.73,11285.18,-39.58,"-0.35%",11116.06,11376.09,231734256,20410998,"-",11471.28,NA,NA,NA,NA,NA,NA
"2015-01-13",11250.88,11355.81,70.63,"0.63%",11244.42,11418.45,198169920,19666078,"-",11408.85,NA,NA,NA,NA,NA,NA
"2015-01-14",11366.95,11237.78,-118.03,"-1.04%",11153.17,11429.31,198195776,19044264,"-",11333.73,NA,NA,NA,NA,NA,NA
"2015-01-15",11240.84,11483.68,245.9,"2.19%",11161.52,11483.75,203864672,19705626,"-",11337.44,NA,NA,NA,NA,NA,NA
"2015-01-16",11496.76,11532.8,49.12,"0.43%",11436.28,11583.73,231473312,23186182,"-",11379.05,11448.71,NA,NA,NA,NA,NA
"2015-01-19",10939.04,10770.93,-761.87,"-6.61%",10634.62,11204.49,309163424,29144704,"-",11276.2,11373.74,NA,NA,NA,NA,NA
"2015-01-20",10761.28,10996.48,225.55,"2.09%",10750.85,11026.05,306492928,29377328,"-",11204.33,11306.59,NA,NA,NA,NA,NA
"2015-01-21",11051.95,11372.18,375.7,"3.42%",11000.74,11395.1,336523840,33481822,"-",11231.21,11282.47,NA,NA,NA,NA,NA
"2015-01-22",11358.44,11471.21,99.03,"0.87%",11342.08,11499.44,325553632,30629492,"-",11228.72,11283.08,NA,NA,NA,NA,NA
"2015-01-23",11507.44,11436.29,-34.92,"-0.30%",11379.96,11554.52,319094208,29269260,"-",11209.42,11294.23,NA,NA,NA,NA,NA
"2015-01-26",11564.22,11686.97,250.68,"2.19%",11512.01,11711.89,287945952,28501728,"-",11392.63,11334.41,NA,NA,NA,NA,NA
"2015-01-27",11670.24,11551.87,-135.1,"-1.16%",11368.99,11705.91,312861056,31076538,"-",11503.7,11354.02,NA,NA,NA,NA,NA
"2015-01-28",11484.99,11354.2,-197.67,"-1.71%",11309.21,11530.09,253930768,26490676,"-",11500.11,11365.66,NA,NA,NA,NA,NA
"2015-01-29",11187.3,11249.04,-105.16,"-0.93%",11161.43,11319.47,232454960,23252434,"-",11455.67,11342.2,NA,NA,NA,NA,NA
"2015-01-30",11290.45,11150.69,-98.35,"-0.87%",11132.8,11354.09,225243520,22366922,"-",11398.55,11303.99,11376.35,NA,NA,NA,NA
"2015-02-02",10952.14,10963.14,-187.55,"-1.68%",10921.44,11140.97,209948512,19987884,"-",11253.79,11323.21,11348.47,NA,NA,NA,NA
"2015-02-03",11077.48,11209.19,246.05,"2.24%",10993.55,11216.68,231934192,23386606,"-",11185.25,11344.48,11325.53,NA,NA,NA,NA
"2015-02-04",11241.98,11116.55,-92.64,"-0.83%",11111.53,11364.38,245803136,24425168,"-",11137.72,11318.92,11300.69,NA,NA,NA,NA
"2015-02-05",11367.14,11065.58,-50.97,"-0.46%",11065.58,11386.73,265315104,28373576,"-",11101.03,11278.35,11280.72,NA,NA,NA,NA
"2015-02-06",11022.49,10791.1,-274.48,"-2.48%",10715.43,11054.94,228201984,23562526,"-",11029.11,11213.83,11254.03,NA,NA,NA,NA
"2015-02-09",10792,10868.14,77.04,"0.71%",10760.05,10975.85,197312128,19544050,"-",11010.11,11131.95,11233.18,NA,NA,NA,NA
"2015-02-10",10887.68,11136.62,268.48,"2.47%",10875.29,11136.62,174003488,17543674,"-",10995.6,11090.43,11222.22,NA,NA,NA,NA
"2015-02-11",11174.31,11265.63,129.01,"1.16%",11167.12,11318.46,183876688,20116760,"-",11025.41,11081.57,11223.61,NA,NA,NA,NA
"2015-02-12",11268.59,11302.73,37.1,"0.33%",11185,11348.32,183979936,20851860,"-",11072.84,11086.94,11214.57,NA,NA,NA,NA
"2015-02-13",11362,11443.05,140.32,"1.24%",11338.01,11564.68,244271536,27079726,"-",11203.23,11116.17,11210.08,11289.62,NA,NA,NA
"2015-02-16",11474.88,11595.25,152.2,"1.33%",11437.74,11606.01,230221680,27510718,"-",11348.66,11179.38,11251.3,11292.11,NA,NA,NA
