"char","freq"
"不懈",1
"复兴",1
"努力完成",1
"开拓进取",1
"周围",1
"地",1
"重在",1
"使命",1
"人类",1
"执点",1
"周边环境",1
"互信",1
"睦邻",1
"朝着",1
"维护者",1
"公道",1
"站",2
"美好",1
"幸福生活",1
"和平统一",1
"大陆",1
"青年",1
"两岸",2
"名义",1
"大政方针",1
"对台",1
"充满信心",1
"始终",2
"大湾",1
"独",1
"民主",2
"行政长官",1
"全力支持",1
"变形",1
"走样",1
"宪法",1
"依照",1
"方针",1
"澳人治澳",1
"一国两制",2
"叶茂",1
"深",1
"之",1
"军政",1
"深度",1
"后备力量",1
"后勤",1
"护航",1
"维稳",1
"反恐",1
"周密",1
"管控",1
"边防",1
"国家主权",2
"治军",1
"动员",1
"新形势下",1
"重大突破",1
"凝聚力",1
"侨眷",1
"侨务",1
"人士",1
"宗教",2
"幸福",1
"大家庭",1
"和睦相处",1
"优秀",1
"兴边",1
"庆祝",1
"创建活动",1
"进步",1
"认真贯彻",1
"民族区域",1
"赢得",1
"碰硬",1
"撑腰",1
"鼓劲",1
"者",2
"给",1
"容错",1
"整肃",1
"探索",1
"大胆",1
"文件",2
"简单",1
"不能",2
"民族大义",1
"结合实际",1
"干字",1
"得",1
"紧密",1
"广大干部",2
"尽责",1
"勤勉",1
"做事",1
"正",1
"要持",1
"不正之风",1
"高压",1
"审计",1
"人民政府",1
"舆论监督",1
"民主监督",1
"人民政协",1
"监督",3
"同级",1
"接受",4
"批评",1
"包括",1
"听取",2
"科学决策",1
"依法办事",1
"尊崇",1
"工作人员",2
"履职",1
"军委主席",1
"效能",1
"在思想上",1
"同心同德",1
"自觉",2
"权威",1
"九",1
"属地",1
"测绘",1
"真抓实干",1
"气象",1
"至上",1
"盗窃",1
"犯罪",2
"恐怖活动",1
"立体化",1
"平安",1
"多发性",1
"老人",1
"社会工作",1
"团组织",1
"群",1
"文明执法",1
"工会",1
"充分发挥",3
"社区",1
"自治",3
"向上",1
"身心健康",1
"运动",1
"竞技",1
"群众体育",1
"筹办",1
"冬",1
"冬奥会",1
"市场监管",1
"科学普及",1
"阅读",1
"物质",1
"文物",1
"智库",1
"影视",1
"文学",1
"社会科学",1
"汇聚",1
"价值观",1
"梦",2
"回报",1
"得不到",1
"他们",2
"一以贯之",1
"拖欠",1
"工资",1
"锲而不舍",1
"困难群众",1
"县级",1
"两项",1
"全面落实",2
"孤寡老人",1
"关爱",1
"儿童",3
"民房",1
"洪涝灾害",1
"足额",1
"按时",1
"主动",2
"网",1
"织密",1
"并重",1
"产",1
"宏伟目标",1
"源头",1
"体魄",1
"各方",2
"严",1
"事关",1
"医务人员",1
"医疗保健",1
"地市",1
"政怠政",1
"分级",1
"就近",1
"方便群众",1
"三级",1
"联合体",1
"450",1
"政治经济",1
"九二",1
"420",1
"每人每年",1
"希望",1
"梦想",1
"人民满意",1
"教师队伍",1
"老年",1
"特殊教育",1
"现代",2
"高考",1
"学科建设",1
"研究生",1
"差距",1
"缩小",1
"反对",2
"教育资源",1
"薄弱",1
"免",1
"人生价值",1
"之本",1
"一人",1
"至少",1
"零",1
"扶持",2
"援助",1
"干",1
"安置工作",1
"切实做好",2
"业绩",1
"795",1
"更要",1
"肩上",1
"扛",1
"心头",1
"党的领导",1
"时刻",1
"之要",1
"为政",1
"事件",1
"八",1
"备战",1
"长城",1
"积累",1
"第二批",1
"森林",1
"严守",1
"垃圾",1
"普遍推行",1
"面源",1
"氨氮",1
"水",1
"必定会",1
"不懈努力",1
"成",1
"艺术创作",1
"贵在",1
"人人有责",1
"纵容",1
"兼容",1
"造假",1
"偷排",1
"应急",1
"机理",1
"对雾",1
"天气",1
"对重",1
"慈善事业",1
"汽车",1
"机动车",3
"监控",1
"在线",1
"24",1
"污染源",2
"资源化",1
