"date","open","close","increase","increPer","low","high","volume","amount","other","MA5","MA10","MA20","MA30","MA40","MA50","MA6"
"2015-01-05",3258.63,3350.52,115.84,"3.58%",3253.88,3369.28,531352384,54976008,"-",NA,NA,NA,NA,NA,NA,NA
"2015-01-06",3330.8,3351.45,0.93,"0.03%",3303.18,3394.22,501661696,53239848,"-",NA,NA,NA,NA,NA,NA,NA
"2015-01-07",3326.65,3373.95,22.51,"0.67%",3312.21,3374.9,391918880,43641672,"-",NA,NA,NA,NA,NA,NA,NA
"2015-01-08",3371.96,3293.46,-80.5,"-2.39%",3285.09,3381.57,371131200,39923032,"-",NA,NA,NA,NA,NA,NA,NA
"2015-01-09",3276.97,3285.41,-8.04,"-0.24%",3267.51,3404.83,410240864,45864804,"-",3330.96,NA,NA,NA,NA,NA,NA
"2015-01-12",3258.21,3229.32,-56.1,"-1.71%",3191.58,3275.19,322064672,36627308,"-",3306.72,NA,NA,NA,NA,NA,NA
"2015-01-13",3223.54,3235.3,5.98,"0.19%",3214.41,3259.39,230725760,27358878,"-",3283.49,NA,NA,NA,NA,NA,NA
"2015-01-14",3242.34,3222.44,-12.86,"-0.40%",3193.98,3268.48,240190752,26720452,"-",3253.19,NA,NA,NA,NA,NA,NA
"2015-01-15",3224.07,3336.46,114.02,"3.54%",3207.54,3337.08,282546240,33061054,"-",3261.79,NA,NA,NA,NA,NA,NA
"2015-01-16",3343.6,3376.5,40.04,"1.20%",3340.49,3400.32,339876768,39225388,"-",3280,3305.48,NA,NA,NA,NA,NA
"2015-01-19",3189.73,3116.35,-260.14,"-7.70%",3095.07,3262.21,401098784,40988600,"-",3257.41,3282.06,NA,NA,NA,NA,NA
"2015-01-20",3114.56,3173.05,56.7,"1.82%",3100.48,3190.25,357080800,41629524,"-",3244.96,3264.22,NA,NA,NA,NA,NA
"2015-01-21",3189.08,3323.61,150.56,"4.74%",3178.34,3337,410956032,47375868,"-",3265.19,3259.19,NA,NA,NA,NA,NA
"2015-01-22",3327.32,3343.34,19.73,"0.59%",3293.98,3352.38,353382976,40787408,"-",3266.57,3264.18,NA,NA,NA,NA,NA
"2015-01-23",3357.1,3351.76,8.42,"0.25%",3328.29,3406.79,366249248,42097952,"-",3261.62,3270.81,NA,NA,NA,NA,NA
"2015-01-26",3347.26,3383.18,31.42,"0.94%",3321.31,3384.8,317540992,35842744,"-",3314.99,3286.2,NA,NA,NA,NA,NA
"2015-01-27",3389.85,3352.96,-30.22,"-0.89%",3290.22,3390.22,374517568,41829884,"-",3350.97,3297.96,NA,NA,NA,NA,NA
"2015-01-28",3325.72,3305.74,-47.22,"-1.41%",3294.66,3354.8,301927104,34156428,"-",3347.4,3306.29,NA,NA,NA,NA,NA
"2015-01-29",3259,3262.3,-43.43,"-1.31%",3234.24,3286.79,274658624,29642450,"-",3331.19,3298.88,NA,NA,NA,NA,NA
"2015-01-30",3273.75,3210.36,-51.94,"-1.59%",3210.31,3288.5,258312544,28426564,"-",3302.91,3282.26,3293.87,NA,NA,NA,NA
"2015-02-02",3148.14,3128.3,-82.06,"-2.56%",3122.57,3175.13,250861632,26684996,"-",3251.93,3283.46,3282.76,NA,NA,NA,NA
"2015-02-03",3156.09,3204.91,76.61,"2.45%",3129.73,3207.94,248192160,28335594,"-",3222.32,3286.65,3275.44,NA,NA,NA,NA
"2015-02-04",3212.82,3174.13,-30.78,"-0.96%",3171.14,3238.98,249098080,29015516,"-",3196,3271.7,3265.44,NA,NA,NA,NA
"2015-02-05",3251.21,3136.53,-37.6,"-1.18%",3135.82,3251.21,306139296,34826696,"-",3170.85,3251.02,3257.6,NA,NA,NA,NA
"2015-02-06",3120.09,3075.91,-60.62,"-1.93%",3052.94,3129.54,246749680,26650278,"-",3143.96,3223.43,3247.12,NA,NA,NA,NA
"2015-02-09",3063.51,3095.12,19.22,"0.62%",3049.11,3119.03,206108384,24071968,"-",3137.32,3194.63,3240.41,NA,NA,NA,NA
"2015-02-10",3090.49,3141.59,46.47,"1.50%",3084.25,3142.1,193817136,22508492,"-",3124.66,3173.49,3235.73,NA,NA,NA,NA
"2015-02-11",3145.76,3157.7,16.11,"0.51%",3139.05,3166.42,172840096,21086256,"-",3121.37,3158.68,3232.49,NA,NA,NA,NA
"2015-02-12",3157.96,3173.42,15.71,"0.50%",3134.24,3181.77,194592320,22969158,"-",3128.75,3149.8,3224.34,NA,NA,NA,NA
"2015-02-13",3186.81,3203.83,30.41,"0.96%",3182.79,3237.16,261290432,29301768,"-",3154.33,3149.14,3215.7,3245.63,NA,NA,NA
